id;nome;cpf;criado;atualizado;ultimo_login
1;streamline;Travessa Casa;2021-04-06T22:30:17;2021-04-06T20:42:59;2021-04-07T10:05:53
2;generate mobile invoice;laranja cinza Identity;2021-04-06T22:08:38;2021-04-07T00:21:09;2021-04-07T07:53:39
3;Rodovia;Quênia Integration;2021-04-06T17:47:00;2021-04-06T18:53:50;2021-04-07T11:04:38
4;virtual;Rua schemas;2021-04-06T18:02:01;2021-04-06T12:00:58;2021-04-07T00:31:11
5;cross-platform Concreto turquesa;Avon Accounts dourado;2021-04-07T10:20:00;2021-04-06T16:33:17;2021-04-07T07:18:47
6;overriding;expedite contingency SCSI;2021-04-07T01:13:33;2021-04-06T14:14:35;2021-04-07T11:26:16
7;Bacon;auxiliary leading-edge Maranhão;2021-04-07T00:13:18;2021-04-07T00:02:14;2021-04-07T08:09:55
8;Bahia payment Inverse;payment partnerships Calças;2021-04-06T17:44:19;2021-04-06T17:10:17;2021-04-07T09:57:59
9;Rodovia âmbar Sapatos;Plástico Paraná;2021-04-07T03:59:43;2021-04-06T12:28:24;2021-04-06T18:38:52
10;Alameda payment;digital;2021-04-06T16:52:21;2021-04-06T21:35:54;2021-04-07T09:23:08
